Date,Open,High,Low,Close,Adj Close,Volume,Dummy,Damage,Dummy_over_0.5,Damage_over_0.5,Dummy_over_0.75,Damage_over_0.75,Dummy_over_0.90,Damage_over_0.90
2010-02-25,9979.900391,9979.900391,9979.900391,9979.900391,7937.198730,0,0,0,0,0,0,0,0,0
2010-02-26,9940.000000,9940.000000,9940.000000,9940.000000,7905.466797,12,0,0,0,0,0,0,0,0
2010-03-01,10040.000000,10040.000000,10040.000000,10240.000000,8144.059570,10,0,0,0,0,0,0,0,0
2010-03-02,10050.000000,10050.000000,9990.000000,9990.000000,7945.231445,4,0,0,0,0,0,0,0,0
2010-03-03,10035.700195,10035.700195,10035.700195,10035.700195,7981.578613,0,0,0,0,0,0,0,0,0
2010-03-04,9970.000000,9970.000000,9970.000000,9970.000000,7929.324219,2,0,0,0,0,0,0,0,0
2010-03-05,10100.000000,10100.000000,10100.000000,10100.000000,8032.717773,1,0,0,0,0,0,0,0,0
2010-03-08,10180.000000,10180.000000,10180.000000,10180.000000,8096.343262,5,0,0,0,0,0,0,0,0
2010-03-09,10157.099609,10157.099609,10157.099609,10157.099609,8078.128418,0,0,0,0,0,0,0,0,0
2010-03-10,10120.400391,10120.400391,10120.400391,10120.400391,8048.940430,0,0,0,0,0,0,0,0,0
2010-03-11,10187.700195,10187.700195,10187.700195,10187.700195,8102.465820,0,0,0,0,0,0,0,0,0
2010-03-12,10220.000000,10220.000000,10220.000000,10220.000000,8128.154297,1,0,0,0,0,0,0,0,0
2010-03-15,10300.000000,10300.000000,10300.000000,10300.000000,8191.781250,1,0,0,0,0,0,0,0,0
2010-03-16,10361.400391,10361.400391,10361.400391,10361.400391,8240.612305,0,0,0,0,0,0,0,0,0
2010-03-17,10371.799805,10371.799805,10371.799805,10371.799805,8248.883789,0,0,0,0,0,0,0,0,0
2010-03-18,10302.000000,10302.000000,10302.000000,10302.000000,8193.370117,0,0,0,0,0,0,0,0,0
2010-03-19,10384.700195,10384.700195,10384.700195,10384.700195,8259.143555,0,0,0,0,0,0,0,0,0
